year,state,abbr,electors,d_pv,r_pv,pop,area
1968,Wisconsin,WI,12,44.26764282,47.88523817,4345000,54314
1968,Wyoming,WY,3,35.51196887,55.75802838,324000,97105
1972,Alabama,AL,9,25.53670486,72.42879137,3539400,50750
1972,Alaska,AK,3,34.62229177,58.12810468,324464,570641
1972,Arizona,AZ,6,30.3807928,61.63870208,2008291,113642
1972,Arkansas,AR,6,30.7101191,68.82420877,2018638,52075
1972,California,CA,45,41.53805357,54.99727409,20585469,155973
1972,Colorado,CO,7,34.59330485,62.60604015,2404619,103730
1972,Connecticut,CT,8,40.12910711,58.56941927,3068699,4845
1972,Delaware,DE,3,39.18332512,59.59552642,572913,1955
1972,District Of Columbia,DC,3,78.09706219,21.55536926,NA,NA
1972,Florida,FL,17,27.79861904,71.91465279,7511463,53997
1972,Georgia,GA,12,24.64554824,75.03549625,4809490,57919
1972,Hawaii,HI,4,37.52081221,62.47918779,828331,6423
1972,Idaho,ID,4,26.04106592,64.23888214,763237,82751
1972,Illinois,IL,26,40.51188634,59.03111765,11251948,55593
1972,Indiana,IN,13,33.33607775,66.10843701,5302435,35870
1972,Iowa,IA,8,40.47542139,57.60515978,2860287,55875
1972,Kansas,KS,7,29.50425447,67.65804856,2256375,81823
1972,Kentucky,KY,9,34.76902554,63.36736615,3335728,39732
1972,Louisiana,LA,10,28.35421321,65.32171935,3761646,43566
1972,Maine_full,ME_full,2,38.48434231,61.46077729,1034292,30865
1972,Maine_d1,ME_d1,1,39,61,1034292,30865
1972,Maine_d2,ME_d2,1,38,62,1034292,30865
1972,Maryland,MD,10,37.35976635,61.2570283,4073499,9775
1972,Massachusetts,MA,14,54.19569896,45.22929481,5760302,7838
1972,Michigan,MI,21,41.81372795,56.20453683,9028944,56539
1972,Minnesota,MN,10,46.06810086,51.57568791,3869747,79617
1972,Mississippi,MS,7,19.62682073,78.19720325,2307117,46914
1972,Missouri,MO,12,37.70566488,62.29433512,4758780,68898
1972,Montana,MT,4,37.84504554,57.92640498,718732,145556
1972,Nebraska_full,NE_full,5,29.49752641,70.50247359,1519013,76878
1972,Nebraska_d1,NE_d1,0,29.49752641,70.50247359,1519013,76878
1972,Nebraska_d2,NE_d2,0,29.49752641,70.50247359,1519013,76878
1972,Nebraska_d3,NE_d3,0,29.49752641,70.50247359,1519013,76878
1972,Nevada,NV,3,36.31922362,63.68077638,546789,109806
1972,New Hampshire,NH,4,34.85462149,63.97792007,781107,8969
1972,New Jersey,NJ,17,36.77433389,61.57360682,7335042,7419
1972,New Mexico,NM,4,36.55679383,61.04873669,1078697,121365
1972,New York,NY,41,41.20572535,58.54338905,18339400,47224
1972,North Carolina,NC,13,28.88855086,69.46402373,5301150,48718
1972,North Dakota,ND,3,35.78573618,62.06784688,631119,68994
1972,Ohio,OH,25,38.07008765,59.63257674,10746993,40953
1972,Oklahoma,OK,8,23.99718419,73.69890281,2658646,68679
1972,Oregon,OR,6,42.32573878,52.44766398,2197297,96003
1972,Pennsylvania,PA,27,39.13131342,59.11278161,11908233,44820
1972,Rhode Island,RI,4,46.81126866,53.00114476,974790,1034
1972,South Carolina,SC,8,27.92087095,70.57694577,2719197,30111
1972,South Dakota,SD,4,45.52315274,54.15350585,677234,75898
1972,Tennessee,TN,10,29.74511773,67.69556986,4094611,41220
1972,Texas,TX,26,33.23887311,66.19882893,11759148,261914
1972,Utah,UT,4,26.39296433,67.64038322,1135449,82168
1972,Vermont,VT,3,36.46721513,62.66461973,463143,9249
1972,Virginia,VA,12,30.12225647,67.8435216,4824472,39598
1972,Washington,WA,9,38.63991292,56.91516521,3447885,66582
1972,West Virginia,WV,6,36.38973818,63.61026182,1797648,24087
1972,Wisconsin,WI,11,43.72488383,53.39928436,4502412,54314
1972,Wyoming,WY,3,30.4719379,69.01421996,347345,97105
1976,Alabama,AL,9,55.72726888,42.61487086,3735139,50750
1976,Alaska,AK,3,35.65313092,57.9045754,400969,570641
1976,Arizona,AZ,6,39.79997819,56.36613578,2346157,113642
1976,Arkansas,AR,6,64.96172813,34.90433661,2170161,52075
1976,California,CA,45,47.95482184,49.74831396,21935909,155973
1976,Colorado,CO,7,42.609946,54.02777778,2632306,103730
1976,Connecticut,CT,8,46.73370096,51.88144451,3083335,4845
