year,abbr,pop,area,density
2004,RI,1074579,1034,1039.24
2004,SC,4210921,30111,139.85
2004,SD,770396,75898,10.15
2004,TN,5910809,41220,143.4
2004,TX,22394023,261914,85.5
2004,UT,2401580,82168,29.23
2004,VA,7475575,39598,188.79
2004,VT,619920,9249,67.03
2004,WA,6178645,66582,92.8
2004,WI,5514026,54314,101.52
2004,WV,1816438,24087,75.41
2004,WY,509106,97105,5.24
2008,AK,687455,570641,1.2
2008,AL,4718206,50750,92.97
2008,AR,2874554,52075,55.2
2008,AZ,6280362,113642,55.26
2008,CA,36604337,155973,234.68
2008,CO,4889730,103730,47.14
2008,CT,3545579,4845,731.8
2008,DE,883874,1955,452.11
2008,FL,18527305,53997,343.12
2008,GA,9504843,57919,164.11
2008,HI,1332213,6423,207.41
2008,IA,3016734,55875,53.99
2008,ID,1534320,82751,18.54
2008,IL,12747038,55593,229.29
2008,IN,6424806,35870,179.11
2008,KS,2808076,81823,34.32
2008,KY,4289878,39732,107.97
2008,LA,4435586,43566,101.81
2008,MA,6468967,7838,825.33
2008,MD,5684965,9775,581.58
2008,ME,1330509,30865,43.11
2008,MI,9946889,56539,175.93
2008,MN,5247018,79617,65.9
2008,MO,5923916,68898,85.98
2008,MS,2947806,46914,62.83
2008,MT,976415,145556,6.71
2008,NC,9309449,48718,191.09
2008,ND,657569,68994,9.53
2008,NE,1796378,76878,23.37
2008,NH,1315906,8969,146.72
2008,NJ,8711090,7419,1174.16
2008,NM,2010662,121365,16.57
2008,NV,2653630,109806,24.17
2008,NY,19212436,47224,406.84
2008,OH,11515391,40953,281.19
2008,OK,3668976,68679,53.42
2008,OR,3768748,96003,39.26
2008,PA,12612285,44820,281.4
2008,RI,1055003,1034,1020.31
2008,SC,4528996,30111,150.41
2008,SD,799124,75898,10.53
2008,TN,6247411,41220,151.56
2008,TX,24309039,261914,92.81
2008,UT,2663029,82168,32.41
2008,VA,7833496,39598,197.83
2008,VT,624151,9249,67.48
2008,WA,6562231,66582,98.56
2008,WI,5640996,54314,103.86
2008,WV,1840310,24087,76.4
2008,WY,546043,97105,5.62
2012,AK,730443,570641,1.28
2012,AL,4815588,50750,94.89
2012,AR,2952164,52075,56.69
2012,AZ,6554978,113642,57.68
2012,CA,37948800,155973,243.3
2012,CO,5192647,103730,50.06
2012,CT,3594547,4845,741.91
2012,DE,915179,1955,468.12
2012,FL,19297822,53997,357.39
2012,GA,9901430,57919,170.95
2012,HI,1394804,6423,217.16
2012,IA,3076190,55875,55.05
2012,ID,1595324,82751,19.28
2012,IL,12882510,55593,231.73
2012,IN,6537703,35870,182.26
2012,KS,2885257,81823,35.26
