year,state,abbr,electors,d_pv,r_pv,margin,pl,d_2pv,d_pv_nat,r_pv_nat,margin_nat,d_2pv_nat,d_cand,r_cand,winner,d_electors,r_electors,state_winner,incumb_party,d_incumb,r_incumb,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,pop,area,jobs_pct_change,pce_pct_change,rdpi_pct_change,cpi_pct_change,ics_pct_change,sp500_avg,unemp_avg
1952,Wisconsin,WI,12,38.70764043,60.95323416,-22.24559373,-5.67023871,38.83935455,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,3469000,54314,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Wyoming,WY,3,37.08597999,62.70512415,-25.61914416,-7.29189915,37.16361324,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,293000,97105,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1956,Alabama,AL,11,56.52251792,39.38527304,17.13724488,14.5685453,58.9342298,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,1,0,1,1,0,0,0,0,0,0,3071000,50750,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Arizona,AZ,4,38.90093151,60.99464801,-22.0937165,-3.05304111,38.94159451,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,0,0,0,1053000,113642,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Arkansas,AR,8,52.45737532,45.81894474,6.638430585,10.5034027,53.3774314,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,1,0,1,1,0,0,0,0,0,0,1704000,52075,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,California,CA,32,44.27328631,55.38732849,-11.11404218,2.31931369,44.42405498,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,1,0,0,0,13713000,155973,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Colorado,CO,6,39.81410823,59.49245484,-19.67834661,-2.13986439,40.09212181,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,0,0,0,1625000,103730,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Connecticut,CT,8,36.260978,63.72067126,-27.45969326,-5.69299462,36.26763338,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,0,0,0,2316000,4845,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Delaware,DE,3,44.62154752,55.09191631,-10.47036879,2.6675749,44.7497718,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,0,0,0,408000,1955,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Florida,FL,10,42.72927007,57.27072993,-14.54145986,0.77529745,42.72927007,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,0,0,0,4047000,53997,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Georgia,GA,12,66.4818834,32.65388558,33.82799782,24.52791078,67.06144925,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,1,0,1,1,0,0,0,0,0,0,3701000,57919,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Idaho,ID,4,38.78104979,61.16693346,-22.38588367,-3.17292283,38.80123293,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,0,0,0,628000,82751,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
