year,state,abbr,electors,d_pv2p,r_pv2p,d_natl_share,r_natl_share,d_cand,r_cand,winner,state_winner,total_rep_electors,total_dem_electors,density,resident_dummy,birth_dummy
1968,Utah,UT,5,39.62260333,60.37739667,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,12.52,0,0
1968,Vermont,VT,3,45.21001049,54.78998951,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,46.49,0,0
1968,Virginia,VA,13,42.83765176,57.16234824,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,115.11,0,0
1968,Washington,WA,11,51.14262872,48.85737128,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,49.11,0,0
1968,West Virginia,WV,5,54.88053917,45.11946083,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,73.19,0,0
1968,Wisconsin,WI,10,48.03717729,51.96282271,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,80,0,0
1968,Wyoming,WY,3,38.9086994,61.0913006,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,3.34,0,0
1972,Alabama,AL,9,26.06703976,73.93296024,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,69.74,0,0
1972,Alaska,AK,3,37.3284569,62.6715431,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,0.57,0,0
1972,Arizona,AZ,8,33.01560484,66.98439516,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,17.67,0,0
1972,Arkansas,AR,6,30.85379663,69.14620337,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,38.76,0,0
1972,California,CA,54,43.02886267,56.97113733,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,131.98,0,-1
