year,state,abbr,electors,d_pv,r_pv,margin,pl,pl_lag1,pl_lag2,d_2pv,d_pv_nat,r_pv_nat,margin_nat,d_2pv_nat,d_cand,r_cand,winner,d_electors,r_electors,state_winner,incumb,incumb_party,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,pop,area,pop_norm,hsa_adjustment,rsa_adjustment,elasticity,elasticity_lag1,elasticity_lag2
1956,Delaware,DE,3,44.62154752,55.09191631,-10.47036879,2.6675749,3.49742613,NA,44.7497718,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,-1,-1,0,0,0,0,0,0,408000,1955,0.009960913,0,0,1.339115852,1,NA
1956,Florida,FL,10,42.72927007,57.27072993,-14.54145986,0.77529745,0.59668463,NA,42.72927007,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,-1,-1,0,0,0,0,0,0,4047000,53997,0.239377128,0,0,0.919009546,1,NA
1956,Georgia,GA,12,66.4818834,32.65388558,33.82799782,24.52791078,25.28069211,NA,67.06144925,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,1,-1,-1,0,0,0,0,0,0,3701000,57919,0.217563989,0,0,1.114591968,1,NA
1956,Idaho,ID,4,38.78104979,61.16693346,-22.38588367,-3.17292283,-9.9570502,NA,38.80123293,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,-1,-1,0,0,0,0,0,0,628000,82751,0.023830538,0,0,-1.748668535,1,NA
1956,Illinois,IL,27,40.28858692,59.52087022,-19.2322833,-1.6653857,0.56507853,NA,40.3655005,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,-1,-1,0,0,0,0,1,0,9530000,55593,0.585046022,0,1.709267241,1.895890075,1,NA
1956,Indiana,IN,13,39.69944399,59.90108411,-20.20164012,-2.25452863,-3.38571671,NA,39.85866817,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,-1,-1,0,0,0,0,0,0,4458000,35870,0.26528811,0,0,0.625956617,1,NA
1956,Iowa,IA,10,40.65062646,59.06433363,-18.41370717,-1.30334616,-8.79129273,NA,40.76682819,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,-1,-1,0,0,0,0,0,0,2703000,55875,0.154646325,0,0,-1.980672069,1,NA
1956,Kansas,KS,8,34.20714511,65.44099059,-31.23384548,-7.74682751,-13.88174338,NA,34.32793285,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,-1,-1,0,0,0,1,0,0,2119000,81823,0.117828773,-8.486891386,0,-1.429659014,1,NA
1956,Kentucky,KY,10,45.21263422,54.29771162,-9.085077404,3.2586616,5.53703787,NA,45.43510912,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,-1,-1,0,0,0,0,0,0,2898000,39732,0.166939856,0,0,1.859020151,1,NA
1956,Louisiana,LA,10,39.50763023,53.28316687,-13.77553664,-2.44634239,8.5442685,NA,42.57709974,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,-1,-1,0,0,0,0,0,0,3032000,43566,0.175387719,0,0,3.98377177,1,NA
